block_id,original_index
6,0
150,1
65,2
39,3
39,4
39,5
39,6
39,7
39,8
56,9
65,10
166,11
115,12
11,13
166,14
79,15
105,16
166,17
148,18
148,19
44,20
27,21
-1,22
166,23
115,24
165,25
165,26
166,27
167,28
114,29
166,30
42,31
19,32
114,33
6,34
73,35
44,36
107,37
168,38
115,39
150,40
138,41
167,42
79,43
39,44
44,45
167,46
167,47
167,48
165,49
148,50
27,51
166,52
165,53
115,54
47,55
165,56
79,57
166,58
166,59
54,60
56,61
142,62
167,63
73,64
44,65
44,66
65,67
6,68
167,69
165,70
165,71
166,72
107,73
148,74
57,75
148,76
47,77
47,78
61,79
114,80
113,81
142,82
113,83
24,84
44,85
114,86
115,87
113,88
138,89
148,90
54,91
47,92
138,93
44,94
115,95
106,96
115,97
0,98
142,99
54,100
115,101
1,102
148,103
138,104
138,105
73,106
106,107
124,108
57,109
162,110
2,111
44,112
102,113
114,114
106,115
106,116
115,117
166,118
44,119
148,120
148,121
150,122
103,123
0,124
107,125
124,126
165,127
54,128
115,129
155,130
150,131
114,132
138,133
107,134
47,135
0,136
150,137
106,138
150,139
115,140
113,141
164,142
148,143
-1,144
105,145
44,146
165,147
105,148
47,149
57,150
148,151
17,152
124,153
17,154
11,155
17,156
150,157
142,158
107,159
105,160
44,161
44,162
17,163
148,164
138,165
29,166
67,167
90,168
17,169
102,170
67,171
105,172
115,173
91,174
164,175
102,176
103,177
103,178
59,179
106,180
100,181
100,182
153,183
155,184
142,185
127,186
127,187
149,188
102,189
102,190
91,191
101,192
147,193
113,194
102,195
102,196
91,197
96,198
91,199
135,200
135,201
150,202
102,203
173,204
147,205
128,206
24,207
2,208
102,209
100,210
91,211
49,212
102,213
94,214
31,215
17,216
113,217
75,218
103,219
128,220
147,221
103,222
2,223
102,224
49,225
207,226
135,227
173,228
3,229
1,230
33,231
57,232
142,233
-1,234
118,235
17,236
17,237
24,238
128,239
128,240
59,241
102,242
93,243
122,244
17,245
135,246
24,247
59,248
91,249
173,250
-1,251
17,252
147,253
33,254
49,255
128,256
100,257
49,258
2,259
76,260
96,261
17,262
103,263
17,264
33,265
153,266
1,267
142,268
150,269
-1,270
118,271
147,272
139,273
107,274
67,275
24,276
102,277
29,278
155,279
154,280
59,281
80,282
67,283
107,284
128,285
24,286
91,287
136,288
91,289
100,290
21,291
15,292
159,293
24,294
91,295
24,296
128,297
9,298
76,299
135,300
124,301
24,302
72,303
95,304
67,305
107,306
147,307
147,308
17,309
103,310
155,311
59,312
159,313
94,314
58,315
100,316
110,317
66,318
133,319
143,320
154,321
173,322
10,323
139,324
9,325
139,326
143,327
143,328
136,329
31,330
247,331
153,332
119,333
96,334
96,335
59,336
136,337
31,338
15,339
55,340
108,341
59,342
