block_id,original_index
13,0
289,1
23,2
13,3
173,4
301,5
155,6
16,7
145,8
289,9
305,10
145,11
11,12
13,13
228,14
-1,15
-1,16
132,17
-1,18
143,19
6,20
31,21
205,22
145,23
4,24
116,25
16,26
259,27
28,28
23,29
182,30
182,31
143,32
116,33
173,34
205,35
11,36
315,37
126,38
116,39
6,40
298,41
4,42
259,43
228,44
195,45
181,46
7,47
11,48
182,49
193,50
155,51
145,52
2,53
182,54
298,55
196,56
28,57
116,58
36,59
126,60
-1,61
82,62
315,63
182,64
23,65
157,66
301,67
-1,68
13,69
243,70
3,71
233,72
233,73
196,74
23,75
233,76
243,77
2,78
4,79
228,80
24,81
116,82
13,83
233,84
301,85
116,86
102,87
309,88
23,89
298,90
126,91
298,92
196,93
23,94
72,95
205,96
13,97
145,98
315,99
23,100
99,101
16,102
196,103
106,104
205,105
13,106
17,107
23,108
145,109
-1,110
-1,111
-1,112
315,113
145,114
145,115
145,116
23,117
259,118
28,119
210,120
16,121
-1,122
47,123
129,124
129,125
218,126
224,127
265,128
26,129
179,130
6,131
314,132
8,133
120,134
314,135
252,136
252,137
252,138
174,139
210,140
312,141
224,142
288,143
16,144
65,145
129,146
15,147
216,148
24,149
73,150
6,151
284,152
218,153
8,154
88,155
216,156
10,157
29,158
174,159
181,160
252,161
-1,162
16,163
205,164
6,165
99,166
8,167
3,168
215,169
328,170
22,171
322,172
22,173
120,174
314,175
120,176
29,177
24,178
8,179
174,180
8,181
21,182
210,183
-1,184
-1,185
76,186
224,187
129,188
205,189
-1,190
297,191
196,192
6,193
210,194
283,195
178,196
297,197
3,198
314,199
314,200
314,201
303,202
88,203
181,204
195,205
252,206
252,207
292,208
196,209
325,210
16,211
143,212
264,213
208,214
29,215
179,216
22,217
310,218
297,219
88,220
252,221
171,222
10,223
10,224
98,225
15,226
29,227
321,228
193,229
21,230
26,231
47,232
325,233
99,234
30,235
22,236
143,237
98,238
10,239
6,240
76,241
193,242
-1,243
-1,244
252,245
181,246
229,247
158,248
322,249
192,250
29,251
15,252
308,253
314,254
76,255
3,256
21,257
321,258
210,259
252,260
322,261
16,262
129,263
179,264
8,265
258,266
15,267
218,268
87,269
88,270
181,271
268,272
8,273
21,274
21,275
3,276
210,277
197,278
197,279
205,280
325,281
79,282
265,283
-1,284
22,285
216,286
322,287
6,288
22,289
252,290
3,291
174,292
-1,293
76,294
252,295
-1,296
253,297
205,298
28,299
297,300
234,301
22,302
24,303
310,304
297,305
120,306
314,307
204,308
195,309
224,310
312,311
22,312
99,313
322,314
325,315
129,316
265,317
30,318
24,319
15,320
-1,321
303,322
314,323
10,324
29,325
178,326
195,327
3,328
181,329
312,330
205,331
24,332
31,333
143,334
31,335
79,336
6,337
314,338
88,339
22,340
317,341
314,342
24,343
178,344
268,345
252,346
252,347
8,348
215,349
-1,350
258,351
265,352
310,353
258,354
218,355
30,356
24,357
29,358
218,359
38,360
21,361
308,362
258,363
205,364
205,365
143,366
196,367
314,368
188,369
-1,370
303,371
314,372
45,373
178,374
29,375
234,376
284,377
195,378
195,379
224,380
193,381
210,382
3,383
252,384
178,385
28,386
28,387
129,388
31,389
129,390
3,391
193,392
265,393
218,394
265,395
284,396
321,397
224,398
76,399
224,400
29,401
93,402
126,403
129,404
303,405
15,406
104,407
22,408
16,409
314,410
15,411
308,412
171,413
24,414
174,415
195,416
252,417
148,418
283,419
0,420
208,421
193,422
74,423
149,424
274,425
197,426
8,427
187,428
-1,429
213,430
321,431
235,432
106,433
306,434
18,435
9,436
119,437
229,438
77,439
159,440
105,441
105,442
105,443
8,444
309,445
226,446
21,447
153,448
321,449
190,450
274,451
195,452
102,453
210,454
187,455
34,456
34,457
213,458
153,459
266,460
18,461
306,462
271,463
307,464
268,465
8,466
21,467
235,468
38,469
119,470
-1,471
226,472
266,473
9,474
292,475
8,476
235,477
210,478
235,479
210,480
172,481
235,482
229,483
235,484
26,485
111,486
241,487
321,488
181,489
252,490
181,491
309,492
251,493
235,494
309,495
213,496
