block_id,original_index
112,0
116,1
100,2
52,3
112,4
100,5
112,6
9,7
133,8
49,9
156,10
151,11
112,12
151,13
133,14
3,15
3,16
100,17
5,18
116,19
100,20
151,21
151,22
116,23
1,24
151,25
1,26
134,27
12,28
133,29
156,30
154,31
156,32
139,33
39,34
87,35
72,36
87,37
154,38
134,39
44,40
145,41
133,42
109,43
154,44
154,45
133,46
154,47
91,48
147,49
87,50
39,51
158,52
139,53
151,54
147,55
17,56
154,57
29,58
133,59
136,60
155,61
158,62
132,63
154,64
112,65
116,66
114,67
133,68
154,69
9,70
39,71
119,72
133,73
53,74
114,75
9,76
156,77
154,78
133,79
156,80
119,81
72,82
85,83
112,84
112,85
112,86
28,87
156,88
155,89
155,90
155,91
112,92
112,93
17,94
133,95
109,96
109,97
112,98
140,99
156,100
156,101
156,102
155,103
155,104
11,105
39,106
155,107
87,108
28,109
28,110
9,111
155,112
138,113
112,114
53,115
156,116
17,117
-1,118
154,119
154,120
154,121
9,122
133,123
92,124
112,125
151,126
156,127
156,128
154,129
109,130
91,131
155,132
154,133
2,134
155,135
155,136
92,137
112,138
151,139
133,140
133,141
91,142
134,143
133,144
133,145
133,146
67,147
115,148
112,149
112,150
112,151
154,152
133,153
53,154
156,155
154,156
154,157
156,158
52,159
72,160
155,161
133,162
155,163
112,164
49,165
109,166
112,167
1,168
156,169
154,170
133,171
155,172
155,173
134,174
69,175
112,176
53,177
151,178
116,179
147,180
156,181
151,182
17,183
154,184
133,185
154,186
156,187
155,188
155,189
155,190
147,191
18,192
114,193
49,194
151,195
156,196
133,197
156,198
2,199
2,200
52,201
112,202
155,203
53,204
156,205
133,206
154,207
86,208
43,209
39,210
39,211
12,212
24,213
136,214
145,215
64,216
97,217
145,218
158,219
97,220
136,221
143,222
64,223
64,224
125,225
125,226
147,227
147,228
136,229
119,230
64,231
158,232
158,233
158,234
152,235
64,236
152,237
125,238
91,239
158,240
132,241
110,242
97,243
98,244
145,245
86,246
64,247
101,248
139,249
139,250
52,251
91,252
158,253
132,254
