treatment,outcome,budget_remaining,global_slope,global_cont,step_frac,slope_improvement,block_farm_slope,block_forest_slope,block_slope_gap,block_swap_potential,block_invested
1,0.3171008229255676,1.0,0.21174953877925873,0.3585221469402313,0.0,0.0,0.49658203125,0.34326171875,0.1533203125,0.333251953125,0.0
1,0.14854830503463745,0.9900000095367432,0.21173125505447388,0.3585017919540405,0.009999999776482582,8.636760321678594e-05,0.25732421875,0.12060546875,0.13671875,0.199951171875,0.0
1,-0.16777712106704712,0.9800000190734863,0.2117256373167038,0.3585323095321655,0.019999999552965164,0.00011286608059890568,0.3046875,0.362060546875,-0.057281494140625,0.2353515625,0.0
1,0.324753075838089,0.9700000286102295,0.21173903346061707,0.3585933446884155,0.029999999329447746,4.9644597311271355e-05,0.364501953125,0.363037109375,0.0016222000122070312,0.320068359375,0.0
1,0.862616240978241,0.9599999785423279,0.21172334253787994,0.35861366987228394,0.03999999910593033,0.00012374046491459012,0.329833984375,0.281982421875,0.0477294921875,0.35302734375,0.0
1,0.33214735984802246,0.949999988079071,0.21170008182525635,0.35864418745040894,0.05000000074505806,0.00023355342273134738,0.311767578125,0.4375,-0.1256103515625,0.227294921875,0.0
1,0.06605444848537445,0.9399999976158142,0.21168437600135803,0.35866960883140564,0.05999999865889549,0.0003077247820328921,0.1834716796875,0.463623046875,-0.2802734375,0.300048828125,0.0
1,-1.3329771757125854,0.9300000071525574,0.2116820067167282,0.35868486762046814,0.07000000029802322,0.00031891907565295696,0.35498046875,0.41455078125,-0.0595703125,0.272705078125,0.0
1,0.2714524269104004,0.9200000166893005,0.21175970137119293,0.35878148674964905,0.07999999821186066,-4.8014098865678534e-05,0.363037109375,0.28466796875,0.07843017578125,0.4443359375,0.0
1,1.3832142353057861,0.9100000262260437,0.21175210177898407,0.35887303948402405,0.09000000357627869,-1.206679553433787e-05,0.444091796875,0.46044921875,-0.016326904296875,0.5,0.0
1,0.09747409075498581,0.8999999761581421,0.2117055058479309,0.35887303948402405,0.10000000149011612,0.00020798385958187282,0.3564453125,0.283203125,0.0732421875,0.333251953125,0.0
1,0.18657831847667694,0.8899999856948853,0.21170297265052795,0.35890862345695496,0.10999999940395355,0.00021994068811181933,0.427978515625,0.388916015625,0.03900146484375,0.302978515625,0.0
1,0.13914184272289276,0.8799999952316284,0.21169647574424744,0.35895439982414246,0.11999999731779099,0.0002506273740436882,0.3193359375,0.353271484375,-0.0340576171875,0.478271484375,0.0
1,0.44625428318977356,0.8700000047683716,0.2116909772157669,0.35897982120513916,0.12999999523162842,0.0002765473327599466,0.398193359375,0.4521484375,-0.053985595703125,0.199951171875,0.0
1,0.3198998272418976,0.8600000143051147,0.2116669863462448,0.35897475481033325,0.14000000059604645,0.0003898839931935072,0.403076171875,0.5087890625,-0.10577392578125,0.2353515625,0.0
1,-0.09388142824172974,0.8500000238418579,0.21166516840457916,0.35900527238845825,0.15000000596046448,0.0003984225622843951,0.307373046875,0.39208984375,-0.0845947265625,0.5,0.0
