swappable_index,source_index,unit_id,land_use,block_id
29748,52120,511011200003,forest,1498
29749,52121,511011200011,forest,1586
29750,52124,511011200003,farmland,1492
29751,52125,511011213008,forest,2945
29752,52126,511011107006,forest,1032
29753,52128,511011103009,forest,546
29754,52132,511011103003,forest,466
29755,52133,511011200011,forest,1596
29756,52135,511011100015,forest,141
29757,52137,511011203008,farmland,1850
29758,52138,511011103002,forest,457
29759,52139,511011200011,farmland,1587
29760,52142,511011200003,farmland,1495
29761,52143,511011100013,farmland,134
29762,52146,511011100013,forest,130
29763,52147,511011100013,farmland,130
29764,52149,511011103003,farmland,464
29765,52152,511011107006,farmland,1035
29766,52153,511011103002,forest,457
29767,52156,511011103003,farmland,466
29768,52159,511011213008,forest,2952
29769,52161,511011103003,forest,468
29770,52162,511011202004,forest,1712
29771,52163,511011203008,farmland,1850
29772,52165,511011111010,forest,1435
29773,52169,511011200011,forest,1596
29774,52171,511011100013,farmland,134
29775,52172,511011100014,farmland,137
29776,52173,511011111011,farmland,1440
29777,52176,511011200011,forest,1590
29778,52180,511011103003,farmland,471
29779,52183,511011111011,farmland,1441
29780,52187,511011103003,forest,471
29781,52188,511011103003,farmland,471
29782,52189,511011103003,farmland,471
29783,52191,511011201011,farmland,1672
29784,52192,511011203008,farmland,1848
29785,52194,511011202011,farmland,1748
29786,52196,511011103002,farmland,457
29787,52197,511011213009,forest,2955
29788,52198,511011213010,farmland,2963
29789,52201,511011111009,forest,1431
29790,52202,511011201009,farmland,1657
29791,52203,511011201009,farmland,1657
29792,52204,511011100013,farmland,131
29793,52205,511011103009,forest,545
29794,52206,511011213009,farmland,2955
29795,52207,511011213008,forest,2952
29796,52212,511011111010,forest,1435
29797,52213,511011111010,farmland,1436
29798,52215,511011100013,farmland,134
29799,52217,511011200004,farmland,1504
29800,52218,511011201011,farmland,1675
29801,52219,511011107006,forest,1032
29802,52220,511011213009,farmland,2958
29803,52221,511011213009,farmland,2958
29804,52224,511011103013,farmland,579
29805,52227,511011103004,farmland,484
29806,52229,511011103003,farmland,465
29807,52230,511011107005,farmland,1027
29808,52231,511011200002,forest,1486
29809,52232,511011202010,forest,1747
29810,52233,511011103004,farmland,485
29811,52237,511011203008,forest,1848
29812,52238,511011103003,farmland,463
29813,52239,511011213008,forest,2952
29814,52241,511011201011,forest,1672
29815,52243,511011100013,farmland,133
29816,52245,511011200003,farmland,1497
29817,52247,511011201009,farmland,1659
29818,52249,511011201009,forest,1659
29819,52250,511011201009,farmland,1659
29820,52251,511011213008,forest,2952
29821,52255,511011201011,farmland,1676
29822,52256,511011202004,forest,1712
29823,52257,511011100015,farmland,142
29824,52259,511011103004,farmland,487
29825,52261,511011111011,farmland,1445
29826,52262,511011200011,forest,1596
29827,52263,511011202004,farmland,1711
29828,52264,511011201011,farmland,1674
29829,52265,511011202004,farmland,1708
29830,52266,511011103013,forest,579
29831,52267,511011103013,forest,579
29832,52270,511011200004,forest,1504
29833,52274,511011111011,farmland,1445
29834,52275,511011107006,forest,1033
29835,52278,511011202004,farmland,1709
29836,52279,511011107005,farmland,1025
29837,52280,511011103003,farmland,469
29838,52281,511011213007,forest,2941
29839,52283,511011200003,forest,1493
29840,52284,511011201013,farmland,1691
29841,52285,511011103009,forest,545
29842,52286,511011103009,farmland,545
29843,52288,511011203008,forest,1850
29844,52290,511011100013,forest,132
29845,52294,511011202004,forest,1708
29846,52298,511011202010,farmland,1747
29847,52301,511011103004,farmland,489
29848,52302,511011203007,forest,1846
29849,52305,511011200011,forest,1596
29850,52307,511011103002,forest,457
29851,52308,511011100013,forest,132
29852,52309,511011100013,forest,132
29853,52314,511011201009,farmland,1657
29854,52316,511011202011,forest,1748
29855,52317,511011103009,farmland,545
29856,52318,511011201013,farmland,1691
29857,52319,511011213010,forest,2964
29858,52322,511011103004,farmland,485
29859,52323,511011103004,farmland,484
29860,52324,511011213008,forest,2950
29861,52325,511011103002,farmland,459
29862,52326,511011200011,forest,1596
29863,52329,511011200003,farmland,1497
29864,52330,511011213008,forest,2952
29865,52331,511011100015,farmland,142
29866,52332,511011100015,farmland,142
29867,52333,511011201013,farmland,1691
29868,52338,511011201013,forest,1691
29869,52340,511011202004,forest,1713
29870,52342,511011103004,forest,486
29871,52343,511011200011,forest,1590
29872,52347,511011203008,forest,1851
29873,52350,511011213008,forest,2946
29874,52352,511011200004,forest,1502
29875,52353,511011213007,forest,-1
29876,52355,511011203012,forest,1882
29877,52356,511011203008,farmland,1848
29878,52358,511011201013,farmland,1692
29879,52361,511011202004,farmland,1712
29880,52362,511011100013,farmland,130
29881,52364,511011201013,forest,1692
29882,52367,511011202010,farmland,1746
29883,52371,511011200004,forest,1502
29884,52373,511011200003,forest,1495
29885,52374,511011103003,forest,463
29886,52375,511011203008,farmland,1849
29887,52376,511011103002,forest,458
29888,52378,511011111011,farmland,1440
29889,52379,511011202004,forest,1710
29890,52380,511011201011,forest,1674
29891,52383,511011111011,farmland,1444
29892,52384,511011200004,forest,1504
29893,52386,511011111009,forest,1430
29894,52387,511011107006,farmland,-1
29895,52391,511011103009,farmland,546
29896,52393,511011201009,forest,1656
29897,52394,511011100013,farmland,130
29898,52395,511011201009,farmland,1658
29899,52398,511011103004,forest,487
29900,52399,511011200011,forest,1589
29901,52401,511011203008,farmland,1848
29902,52402,511011200011,forest,1592
29903,52403,511011111012,forest,1458
29904,52404,511011213009,forest,2956
29905,52405,511011200003,farmland,1491
29906,52407,511011103002,farmland,454
29907,52409,511011213007,farmland,-1
29908,52411,511011200004,farmland,1504
29909,52412,511011103013,forest,579
29910,52415,511011111009,forest,1431
29911,52416,511011111010,forest,1435
29912,52417,511011213010,farmland,2963
29913,52418,511011213009,farmland,2957
29914,52420,511011201009,forest,1656
29915,52421,511011107006,forest,1032
29916,52422,511011103004,farmland,486
29917,52423,511011103004,farmland,487
29918,52424,511011201009,forest,1658
29919,52425,511011103004,farmland,489
29920,52429,511011103002,forest,454
29921,52430,511011103004,forest,482
29922,52431,511011103004,forest,490
29923,52432,511011107006,farmland,1033
29924,52433,511011103013,farmland,579
29925,52434,511011201008,farmland,1654
29926,52435,511011111012,forest,1455
29927,52438,511011107005,forest,1028
29928,52439,511011100013,farmland,130
29929,52442,511011201013,farmland,1691
29930,52445,511011111011,forest,1443
29931,52446,511011200002,forest,1486
29932,52447,511011213008,forest,2946
29933,52448,511011111009,forest,1431
29934,52449,511011213008,forest,2950
29935,52451,511011200003,farmland,1496
29936,52453,511011201009,farmland,1659
29937,52454,511011103002,farmland,458
29938,52456,511011100013,farmland,130
29939,52457,511011100015,farmland,141
29940,52458,511011103013,farmland,-1
29941,52459,511011103004,forest,480
29942,52460,511011201009,farmland,1657
29943,52462,511011103002,farmland,458
29944,52463,511011103002,farmland,458
29945,52465,511011203008,forest,1852
29946,52466,511011103004,farmland,489
29947,52468,511011202004,farmland,1714
29948,52470,511011203007,farmland,1846
29949,52472,511011213009,forest,2955
29950,52473,511011201011,farmland,1675
29951,52474,511011213009,farmland,2957
29952,52475,511011103003,forest,470
29953,52476,511011202010,forest,1743
