block_id,original_index
8,0
9,1
9,2
9,3
14,4
8,5
9,6
12,7
9,8
8,9
0,10
9,11
0,12
9,13
8,14
16,15
9,16
0,17
24,18
9,19
25,20
9,21
0,22
26,23
9,24
14,25
24,26
-1,27
0,28
0,29
9,30
24,31
24,32
129,33
24,34
177,35
15,36
0,37
24,38
23,39
24,40
15,41
23,42
20,43
20,44
15,45
24,46
24,47
24,48
24,49
24,50
15,51
23,52
15,53
23,54
24,55
23,56
40,57
15,58
16,59
182,60
15,61
108,62
124,63
158,64
21,65
16,66
16,67
16,68
16,69
15,70
15,71
20,72
129,73
170,74
15,75
124,76
15,77
19,78
15,79
15,80
16,81
129,82
20,83
16,84
158,85
158,86
19,87
19,88
16,89
16,90
16,91
23,92
95,93
129,94
128,95
179,96
21,97
128,98
177,99
177,100
157,101
50,102
183,103
159,104
177,105
157,106
157,107
63,108
157,109
82,110
40,111
154,112
129,113
157,114
157,115
128,116
82,117
128,118
21,119
21,120
146,121
82,122
157,123
128,124
157,125
108,126
108,127
177,128
157,129
21,130
157,131
21,132
21,133
181,134
159,135
157,136
128,137
157,138
82,139
158,140
93,141
154,142
71,143
95,144
124,145
124,146
128,147
71,148
95,149
170,150
79,151
95,152
78,153
79,154
79,155
78,156
124,157
82,158
152,159
124,160
124,161
78,162
71,163
158,164
82,165
79,166
79,167
17,168
152,169
166,170
157,171
153,172
95,173
154,174
124,175
21,176
121,177
71,178
124,179
22,180
95,181
95,182
79,183
78,184
157,185
124,186
79,187
124,188
124,189
121,190
78,191
152,192
177,193
154,194
95,195
153,196
109,197
170,198
95,199
99,200
157,201
157,202
16,203
16,204
157,205
22,206
124,207
157,208
62,209
16,210
22,211
62,212
157,213
166,214
22,215
157,216
82,217
169,218
166,219
115,220
57,221
22,222
124,223
166,224
21,225
20,226
20,227
17,228
17,229
62,230
33,231
154,232
22,233
21,234
20,235
168,236
166,237
157,238
157,239
145,240
168,241
69,242
69,243
33,244
33,245
143,246
143,247
143,248
69,249
109,250
33,251
114,252
116,253
169,254
114,255
114,256
89,257
30,258
169,259
44,260
109,261
88,262
109,263
47,264
116,265
107,266
107,267
33,268
109,269
155,270
168,271
115,272
36,273
116,274
89,275
51,276
169,277
116,278
114,279
69,280
116,281
109,282
69,283
96,284
116,285
57,286
169,287
51,288
27,289
33,290
110,291
109,292
44,293
114,294
114,295
109,296
114,297
38,298
168,299
145,300
107,301
130,302
192,303
62,304
132,305
150,306
147,307
141,308
180,309
165,310
171,311
165,312
129,313
165,314
59,315
168,316
145,317
50,318
186,319
141,320
165,321
150,322
59,323
-1,324
40,325
66,326
172,327
146,328
145,329
145,330
142,331
72,332
171,333
50,334
150,335
51,336
143,337
50,338
59,339
94,340
51,341
145,342
180,343
171,344
184,345
150,346
150,347
165,348
144,349
59,350
94,351
171,352
184,353
200,354
184,355
198,356
200,357
181,358
184,359
186,360
187,361
186,362
200,363
186,364
191,365
195,366
184,367
186,368
205,369
184,370
186,371
184,372
200,373
180,374
29,375
184,376
195,377
91,378
192,379
200,380
200,381
197,382
198,383
184,384
198,385
184,386
59,387
205,388
198,389
188,390
188,391
188,392
189,393
205,394
205,395
188,396
194,397
-1,398
123,399
188,400
188,401
202,402
202,403
202,404
169,405
-1,406
136,407
169,408
205,409
136,410
169,411
196,412
205,413
205,414
196,415
122,416
191,417
178,418
205,419
184,420
191,421
202,422
122,423
202,424
122,425
122,426
193,427
202,428
205,429
191,430
188,431
122,432
169,433
189,434
194,435
203,436
122,437
195,438
169,439
169,440
169,441
169,442
169,443
193,444
188,445
188,446
178,447
188,448
207,449
206,450
207,451
206,452
206,453
206,454
161,455
139,456
139,457
89,458
137,459
139,460
161,461
137,462
139,463
137,464
12,465
0,466
151,467
117,468
-1,469
126,470
180,471
148,472
112,473
161,474
161,475
139,476
161,477
131,478
161,479
131,480
131,481
131,482
131,483
161,484
68,485
68,486
137,487
131,488
112,489
148,490
148,491
126,492
126,493
112,494
112,495
112,496
112,497
126,498
19,499
31,500
31,501
161,502
112,503
126,504
139,505
139,506
139,507
173,508
112,509
139,510
148,511
173,512
117,513
117,514
117,515
117,516
151,517
137,518
126,519
117,520
117,521
117,522
163,523
148,524
163,525
69,526
163,527
151,528
151,529
117,530
83,531
137,532
163,533
163,534
137,535
163,536
163,537
117,538
163,539
163,540
117,541
117,542
117,543
117,544
163,545
91,546
179,547
84,548
181,549
181,550
91,551
181,552
181,553
141,554
165,555
12,556
-1,557
181,558
181,559
165,560
44,561
0,562
26,563
141,564
180,565
141,566
137,567
44,568
0,569
0,570
26,571
165,572
29,573
141,574
94,575
180,576
74,577
74,578
0,579
-1,580
-1,581
29,582
74,583
-1,584
180,585
72,586
180,587
126,588
139,589
139,590
161,591
72,592
180,593
131,594
192,595
183,596
180,597
72,598
180,599
109,600
114,601
114,602
12,603
29,604
142,605
74,606
165,607
139,608
139,609
100,610
100,611
40,612
142,613
131,614
24,615
194,616
194,617
185,618
131,619
68,620
68,621
14,622
73,623
91,624
29,625
185,626
184,627
186,628
-1,629
186,630
148,631
112,632
68,633
148,634
148,635
12,636
0,637
0,638
0,639
141,640
181,641
171,642
107,643
134,644
184,645
198,646
112,647
137,648
137,649
12,650
107,651
107,652
40,653
40,654
126,655
89,656
43,657
109,658
150,659
151,660
43,661
117,662
75,663
75,664
109,665
39,666
-1,667
163,668
154,669
79,670
95,671
95,672
82,673
165,674
110,675
141,676
179,677
100,678
183,679
100,680
79,681
177,682
71,683
110,684
69,685
172,686
94,687
12,688
12,689
12,690
71,691
153,692
119,693
128,694
128,695
203,696
203,697
203,698
197,699
197,700
67,701
26,702
26,703
197,704
197,705
197,706
51,707
168,708
183,709
184,710
184,711
154,712
103,713
96,714
132,715
192,716
24,717
3,718
183,719
191,720
205,721
143,722
66,723
161,724
24,725
205,726
205,727
139,728
148,729
148,730
148,731
59,732
59,733
78,734
82,735
82,736
112,737
204,738
112,739
112,740
59,741
-1,742
-1,743
-1,744
112,745
188,746
163,747
117,748
180,749
8,750
8,751
8,752
8,753
-1,754
8,755
8,756
8,757
25,758
12,759
14,760
-1,761
8,762
8,763
8,764
12,765
8,766
8,767
25,768
8,769
8,770
14,771
-1,772
14,773
9,774
142,775
149,776
19,777
15,778
27,779
15,780
19,781
17,782
149,783
149,784
15,785
19,786
147,787
155,788
102,789
109,790
102,791
17,792
15,793
21,794
17,795
69,796
147,797
27,798
170,799
124,800
19,801
105,802
105,803
102,804
15,805
15,806
75,807
105,808
155,809
15,810
19,811
105,812
155,813
15,814
15,815
15,816
94,817
180,818
147,819
157,820
142,821
147,822
147,823
102,824
16,825
102,826
16,827
15,828
21,829
16,830
16,831
22,832
17,833
16,834
17,835
17,836
16,837
16,838
17,839
19,840
17,841
17,842
17,843
17,844
17,845
22,846
17,847
17,848
17,849
19,850
15,851
17,852
17,853
16,854
16,855
17,856
17,857
17,858
15,859
16,860
-1,861
17,862
16,863
16,864
16,865
19,866
16,867
17,868
128,869
21,870
152,871
21,872
22,873
154,874
21,875
22,876
154,877
22,878
22,879
22,880
21,881
154,882
17,883
17,884
82,885
128,886
128,887
128,888
128,889
79,890
95,891
63,892
121,893
152,894
128,895
152,896
108,897
100,898
152,899
152,900
170,901
124,902
153,903
121,904
78,905
154,906
-1,907
152,908
79,909
79,910
82,911
152,912
152,913
78,914
121,915
121,916
154,917
170,918
124,919
128,920
152,921
170,922
158,923
182,924
170,925
152,926
78,927
78,928
128,929
152,930
170,931
79,932
170,933
152,934
141,935
152,936
170,937
121,938
170,939
152,940
79,941
79,942
170,943
78,944
124,945
71,946
165,947
141,948
121,949
170,950
154,951
152,952
79,953
124,954
152,955
95,956
78,957
79,958
120,959
72,960
121,961
79,962
79,963
121,964
121,965
71,966
128,967
128,968
128,969
128,970
152,971
170,972
95,973
95,974
78,975
170,976
79,977
170,978
82,979
141,980
121,981
152,982
121,983
128,984
128,985
128,986
95,987
128,988
121,989
152,990
158,991
158,992
95,993
124,994
108,995
170,996
71,997
78,998
128,999
154,1000
152,1001
128,1002
124,1003
124,1004
170,1005
79,1006
121,1007
95,1008
153,1009
154,1010
128,1011
128,1012
152,1013
170,1014
170,1015
121,1016
153,1017
153,1018
153,1019
154,1020
170,1021
79,1022
121,1023
170,1024
121,1025
78,1026
170,1027
153,1028
95,1029
170,1030
152,1031
82,1032
82,1033
158,1034
124,1035
121,1036
154,1037
152,1038
128,1039
170,1040
159,1041
152,1042
152,1043
121,1044
119,1045
119,1046
181,1047
120,1048
181,1049
158,1050
158,1051
82,1052
108,1053
158,1054
159,1055
158,1056
108,1057
40,1058
129,1059
84,1060
91,1061
73,1062
91,1063
59,1064
158,1065
158,1066
82,1067
158,1068
100,1069
159,1070
158,1071
100,1072
100,1073
100,1074
63,1075
182,1076
129,1077
84,1078
73,1079
59,1080
59,1081
129,1082
84,1083
91,1084
181,1085
158,1086
158,1087
82,1088
108,1089
71,1090
108,1091
63,1092
40,1093
40,1094
63,1095
146,1096
40,1097
181,1098
84,1099
181,1100
171,1101
181,1102
82,1103
177,1104
153,1105
177,1106
159,1107
108,1108
119,1109
108,1110
119,1111
129,1112
119,1113
40,1114
40,1115
100,1116
171,1117
63,1118
84,1119
40,1120
40,1121
121,1122
121,1123
153,1124
158,1125
153,1126
63,1127
129,1128
119,1129
129,1130
119,1131
120,1132
63,1133
182,1134
84,1135
146,1136
82,1137
183,1138
129,1139
159,1140
119,1141
40,1142
159,1143
159,1144
40,1145
119,1146
179,1147
182,1148
40,1149
119,1150
181,1151
179,1152
153,1153
158,1154
177,1155
159,1156
119,1157
159,1158
129,1159
129,1160
108,1161
179,1162
91,1163
91,1164
91,1165
182,1166
177,1167
158,1168
158,1169
108,1170
153,1171
153,1172
129,1173
129,1174
63,1175
100,1176
129,1177
119,1178
119,1179
40,1180
119,1181
84,1182
158,1183
159,1184
100,1185
100,1186
158,1187
158,1188
100,1189
100,1190
179,1191
73,1192
84,1193
159,1194
108,1195
129,1196
159,1197
159,1198
158,1199
159,1200
182,1201
119,1202
159,1203
129,1204
182,1205
40,1206
159,1207
179,1208
91,1209
82,1210
71,1211
71,1212
153,1213
159,1214
108,1215
63,1216
171,1217
181,1218
82,1219
153,1220
71,1221
159,1222
183,1223
119,1224
183,1225
63,1226
159,1227
63,1228
59,1229
40,1230
63,1231
146,1232
73,1233
59,1234
181,1235
82,1236
121,1237
121,1238
158,1239
158,1240
159,1241
100,1242
108,1243
129,1244
100,1245
100,1246
108,1247
129,1248
179,1249
146,1250
158,1251
158,1252
158,1253
183,1254
146,1255
182,1256
63,1257
63,1258
182,1259
129,1260
91,1261
91,1262
153,1263
82,1264
158,1265
159,1266
108,1267
100,1268
183,1269
158,1270
159,1271
129,1272
159,1273
40,1274
119,1275
63,1276
129,1277
182,1278
182,1279
181,1280
91,1281
153,1282
153,1283
121,1284
153,1285
159,1286
153,1287
159,1288
159,1289
159,1290
159,1291
119,1292
141,1293
149,1294
149,1295
73,1296
91,1297
91,1298
171,1299
120,1300
120,1301
29,1302
94,1303
87,1304
180,1305
137,1306
161,1307
137,1308
87,1309
171,1310
39,1311
149,1312
179,1313
181,1314
73,1315
73,1316
73,1317
73,1318
120,1319
179,1320
120,1321
50,1322
87,1323
144,1324
144,1325
87,1326
141,1327
103,1328
165,1329
180,1330
87,1331
141,1332
105,1333
147,1334
84,1335
84,1336
91,1337
50,1338
141,1339
180,1340
87,1341
141,1342
180,1343
180,1344
144,1345
120,1346
120,1347
165,1348
72,1349
72,1350
94,1351
149,1352
147,1353
87,1354
75,1355
142,1356
142,1357
73,1358
91,1359
181,1360
181,1361
181,1362
120,1363
120,1364
165,1365
120,1366
141,1367
142,1368
120,1369
87,1370
180,1371
87,1372
33,1373
72,1374
147,1375
39,1376
141,1377
73,1378
91,1379
91,1380
120,1381
179,1382
181,1383
165,1384
50,1385
120,1386
120,1387
39,1388
126,1389
39,1390
149,1391
39,1392
75,1393
91,1394
146,1395
171,1396
144,1397
144,1398
165,1399
141,1400
171,1401
39,1402
29,1403
136,1404
165,1405
39,1406
94,1407
72,1408
147,1409
142,1410
59,1411
50,1412
91,1413
91,1414
141,1415
87,1416
94,1417
171,1418
120,1419
141,1420
102,1421
94,1422
-1,1423
180,1424
147,1425
102,1426
102,1427
149,1428
84,1429
179,1430
73,1431
91,1432
181,1433
171,1434
181,1435
141,1436
181,1437
165,1438
94,1439
147,1440
105,1441
142,1442
65,1443
72,1444
87,1445
141,1446
94,1447
180,1448
102,1449
87,1450
84,1451
73,1452
50,1453
165,1454
180,1455
120,1456
181,1457
165,1458
171,1459
102,1460
102,1461
75,1462
72,1463
72,1464
-1,1465
142,1466
181,1467
181,1468
179,1469
120,1470
141,1471
165,1472
87,1473
94,1474
94,1475
155,1476
136,1477
151,1478
39,1479
180,1480
94,1481
102,1482
102,1483
149,1484
91,1485
73,1486
84,1487
91,1488
181,1489
73,1490
73,1491
120,1492
59,1493
181,1494
59,1495
141,1496
87,1497
141,1498
94,1499
120,1500
29,1501
173,1502
149,1503
180,1504
102,1505
171,1506
142,1507
149,1508
94,1509
84,1510
84,1511
73,1512
73,1513
179,1514
141,1515
59,1516
73,1517
73,1518
180,1519
165,1520
144,1521
144,1522
88,1523
178,1524
163,1525
134,1526
171,1527
94,1528
87,1529
39,1530
141,1531
180,1532
39,1533
39,1534
102,1535
84,1536
181,1537
181,1538
73,1539
91,1540
120,1541
120,1542
141,1543
180,1544
120,1545
72,1546
29,1547
29,1548
139,1549
151,1550
171,1551
87,1552
149,1553
142,1554
87,1555
102,1556
27,1557
73,1558
171,1559
50,1560
165,1561
50,1562
120,1563
87,1564
141,1565
94,1566
87,1567
141,1568
102,1569
30,1570
151,1571
147,1572
180,1573
102,1574
94,1575
75,1576
105,1577
181,1578
120,1579
179,1580
91,1581
171,1582
59,1583
87,1584
120,1585
94,1586
29,1587
87,1588
141,1589
67,1590
-1,1591
94,1592
39,1593
165,1594
149,1595
87,1596
147,1597
39,1598
94,1599
102,1600
149,1601
146,1602
181,1603
87,1604
50,1605
50,1606
180,1607
171,1608
144,1609
72,1610
80,1611
144,1612
109,1613
94,1614
72,1615
87,1616
105,1617
105,1618
105,1619
-1,1620
147,1621
105,1622
88,1623
47,1624
47,1625
142,1626
105,1627
114,1628
47,1629
47,1630
150,1631
38,1632
69,1633
42,1634
83,1635
150,1636
107,1637
107,1638
75,1639
75,1640
75,1641
155,1642
38,1643
105,1644
42,1645
109,1646
109,1647
83,1648
132,1649
114,1650
88,1651
75,1652
102,1653
102,1654
105,1655
149,1656
142,1657
142,1658
105,1659
105,1660
105,1661
38,1662
44,1663
38,1664
114,1665
42,1666
44,1667
69,1668
150,1669
150,1670
44,1671
102,1672
147,1673
142,1674
142,1675
38,1676
42,1677
44,1678
114,1679
139,1680
69,1681
139,1682
114,1683
83,1684
149,1685
-1,1686
75,1687
155,1688
105,1689
105,1690
155,1691
105,1692
38,1693
38,1694
75,1695
38,1696
69,1697
69,1698
155,1699
107,1700
139,1701
150,1702
147,1703
39,1704
109,1705
149,1706
149,1707
155,1708
155,1709
142,1710
142,1711
47,1712
114,1713
47,1714
155,1715
88,1716
88,1717
139,1718
83,1719
114,1720
110,1721
102,1722
75,1723
141,1724
155,1725
155,1726
27,1727
149,1728
105,1729
27,1730
105,1731
105,1732
42,1733
38,1734
42,1735
107,1736
42,1737
83,1738
83,1739
150,1740
107,1741
51,1742
207,1743
149,1744
27,1745
147,1746
142,1747
75,1748
102,1749
-1,1750
75,1751
155,1752
114,1753
42,1754
-1,1755
38,1756
109,1757
69,1758
139,1759
155,1760
107,1761
44,1762
69,1763
44,1764
103,1765
107,1766
69,1767
69,1768
149,1769
27,1770
47,1771
102,1772
105,1773
105,1774
105,1775
155,1776
155,1777
155,1778
109,1779
155,1780
42,1781
88,1782
150,1783
139,1784
42,1785
51,1786
110,1787
27,1788
27,1789
142,1790
155,1791
102,1792
114,1793
-1,1794
75,1795
42,1796
47,1797
44,1798
88,1799
150,1800
142,1801
142,1802
142,1803
27,1804
105,1805
47,1806
47,1807
147,1808
142,1809
-1,1810
139,1811
114,1812
42,1813
109,1814
114,1815
114,1816
110,1817
107,1818
149,1819
149,1820
147,1821
149,1822
27,1823
27,1824
147,1825
105,1826
105,1827
69,1828
149,1829
114,1830
114,1831
114,1832
109,1833
51,1834
114,1835
161,1836
123,1837
147,1838
-1,1839
147,1840
102,1841
149,1842
75,1843
149,1844
27,1845
142,1846
42,1847
147,1848
109,1849
105,1850
139,1851
42,1852
42,1853
110,1854
44,1855
109,1856
83,1857
88,1858
207,1859
75,1860
147,1861
155,1862
75,1863
102,1864
75,1865
147,1866
27,1867
149,1868
-1,1869
105,1870
155,1871
83,1872
205,1873
142,1874
142,1875
69,1876
147,1877
155,1878
47,1879
155,1880
47,1881
114,1882
38,1883
109,1884
155,1885
150,1886
110,1887
110,1888
42,1889
83,1890
75,1891
155,1892
142,1893
142,1894
147,1895
155,1896
155,1897
105,1898
47,1899
114,1900
114,1901
47,1902
42,1903
42,1904
42,1905
150,1906
139,1907
42,1908
139,1909
103,1910
143,1911
68,1912
110,1913
161,1914
83,1915
103,1916
83,1917
107,1918
131,1919
103,1920
172,1921
103,1922
80,1923
172,1924
103,1925
96,1926
28,1927
143,1928
-1,1929
137,1930
88,1931
103,1932
161,1933
161,1934
110,1935
110,1936
110,1937
-1,1938
131,1939
143,1940
103,1941
103,1942
103,1943
137,1944
103,1945
172,1946
172,1947
143,1948
143,1949
74,1950
44,1951
44,1952
110,1953
110,1954
30,1955
131,1956
137,1957
172,1958
74,1959
74,1960
67,1961
145,1962
172,1963
150,1964
139,1965
110,1966
-1,1967
88,1968
74,1969
143,1970
131,1971
110,1972
74,1973
172,1974
172,1975
80,1976
131,1977
80,1978
80,1979
143,1980
83,1981
150,1982
103,1983
137,1984
88,1985
168,1986
51,1987
110,1988
131,1989
172,1990
172,1991
-1,1992
110,1993
88,1994
161,1995
161,1996
161,1997
137,1998
74,1999
161,2000
143,2001
74,2002
74,2003
-1,2004
74,2005
66,2006
67,2007
96,2008
143,2009
83,2010
88,2011
88,2012
74,2013
107,2014
110,2015
110,2016
137,2017
80,2018
68,2019
74,2020
137,2021
-1,2022
51,2023
51,2024
150,2025
30,2026
131,2027
51,2028
110,2029
131,2030
137,2031
110,2032
80,2033
68,2034
-1,2035
66,2036
96,2037
172,2038
150,2039
103,2040
-1,2041
30,2042
150,2043
137,2044
143,2045
74,2046
67,2047
80,2048
131,2049
68,2050
139,2051
110,2052
139,2053
83,2054
107,2055
83,2056
30,2057
51,2058
139,2059
161,2060
143,2061
143,2062
103,2063
110,2064
172,2065
137,2066
137,2067
67,2068
68,2069
80,2070
172,2071
150,2072
110,2073
161,2074
107,2075
74,2076
161,2077
172,2078
143,2079
80,2080
68,2081
80,2082
96,2083
80,2084
83,2085
107,2086
88,2087
30,2088
88,2089
150,2090
110,2091
-1,2092
67,2093
68,2094
168,2095
66,2096
172,2097
68,2098
107,2099
107,2100
30,2101
107,2102
110,2103
107,2104
107,2105
131,2106
110,2107
103,2108
143,2109
-1,2110
96,2111
68,2112
74,2113
168,2114
131,2115
131,2116
145,2117
143,2118
107,2119
110,2120
88,2121
110,2122
103,2123
110,2124
172,2125
145,2126
137,2127
67,2128
168,2129
80,2130
67,2131
168,2132
168,2133
131,2134
172,2135
172,2136
88,2137
83,2138
107,2139
161,2140
51,2141
150,2142
161,2143
51,2144
143,2145
131,2146
103,2147
172,2148
67,2149
80,2150
80,2151
168,2152
67,2153
172,2154
88,2155
103,2156
107,2157
107,2158
103,2159
143,2160
143,2161
80,2162
68,2163
172,2164
80,2165
68,2166
168,2167
168,2168
28,2169
96,2170
66,2171
28,2172
168,2173
172,2174
148,2175
148,2176
148,2177
168,2178
116,2179
115,2180
36,2181
89,2182
89,2183
28,2184
96,2185
66,2186
96,2187
148,2188
172,2189
168,2190
31,2191
148,2192
57,2193
57,2194
115,2195
43,2196
35,2197
112,2198
31,2199
116,2200
57,2201
115,2202
57,2203
143,2204
66,2205
28,2206
96,2207
96,2208
96,2209
31,2210
126,2211
62,2212
115,2213
89,2214
66,2215
168,2216
66,2217
137,2218
28,2219
126,2220
168,2221
31,2222
148,2223
145,2224
145,2225
96,2226
43,2227
89,2228
57,2229
89,2230
36,2231
126,2232
168,2233
145,2234
172,2235
145,2236
172,2237
148,2238
172,2239
96,2240
148,2241
31,2242
31,2243
115,2244
168,2245
43,2246
89,2247
89,2248
172,2249
66,2250
66,2251
172,2252
148,2253
28,2254
96,2255
96,2256
57,2257
57,2258
115,2259
31,2260
116,2261
115,2262
116,2263
33,2264
43,2265
122,2266
115,2267
168,2268
168,2269
172,2270
148,2271
66,2272
66,2273
168,2274
74,2275
28,2276
-1,2277
96,2278
145,2279
66,2280
31,2281
145,2282
-1,2283
115,2284
112,2285
126,2286
33,2287
89,2288
116,2289
136,2290
96,2291
28,2292
96,2293
96,2294
148,2295
168,2296
126,2297
57,2298
62,2299
62,2300
115,2301
172,2302
96,2303
168,2304
148,2305
96,2306
96,2307
126,2308
126,2309
126,2310
112,2311
31,2312
115,2313
115,2314
28,2315
168,2316
96,2317
66,2318
62,2319
148,2320
112,2321
148,2322
57,2323
173,2324
43,2325
173,2326
96,2327
80,2328
126,2329
148,2330
172,2331
31,2332
126,2333
116,2334
57,2335
57,2336
148,2337
115,2338
115,2339
115,2340
115,2341
89,2342
99,2343
66,2344
168,2345
126,2346
168,2347
148,2348
112,2349
116,2350
31,2351
126,2352
115,2353
112,2354
126,2355
116,2356
89,2357
168,2358
168,2359
66,2360
80,2361
145,2362
145,2363
31,2364
148,2365
145,2366
148,2367
126,2368
116,2369
89,2370
115,2371
116,2372
36,2373
66,2374
126,2375
145,2376
148,2377
168,2378
112,2379
148,2380
148,2381
31,2382
112,2383
126,2384
112,2385
36,2386
89,2387
173,2388
112,2389
96,2390
172,2391
126,2392
112,2393
112,2394
33,2395
31,2396
126,2397
173,2398
116,2399
173,2400
123,2401
134,2402
134,2403
123,2404
-1,2405
188,2406
36,2407
99,2408
43,2409
136,2410
151,2411
65,2412
65,2413
178,2414
123,2415
178,2416
173,2417
173,2418
151,2419
163,2420
122,2421
178,2422
178,2423
65,2424
65,2425
65,2426
136,2427
134,2428
134,2429
134,2430
36,2431
35,2432
122,2433
117,2434
136,2435
65,2436
-1,2437
173,2438
136,2439
136,2440
151,2441
173,2442
99,2443
151,2444
35,2445
136,2446
-1,2447
134,2448
169,2449
99,2450
151,2451
134,2452
117,2453
134,2454
122,2455
178,2456
178,2457
65,2458
36,2459
36,2460
151,2461
173,2462
122,2463
122,2464
136,2465
151,2466
163,2467
173,2468
89,2469
122,2470
35,2471
178,2472
65,2473
136,2474
163,2475
134,2476
122,2477
123,2478
173,2479
43,2480
99,2481
136,2482
89,2483
136,2484
178,2485
136,2486
36,2487
163,2488
163,2489
122,2490
134,2491
122,2492
188,2493
89,2494
151,2495
57,2496
89,2497
99,2498
35,2499
122,2500
-1,2501
134,2502
178,2503
173,2504
43,2505
136,2506
136,2507
169,2508
99,2509
122,2510
173,2511
178,2512
178,2513
163,2514
173,2515
178,2516
99,2517
136,2518
122,2519
151,2520
-1,2521
163,2522
163,2523
-1,2524
36,2525
173,2526
35,2527
35,2528
169,2529
136,2530
151,2531
65,2532
122,2533
134,2534
178,2535
169,2536
36,2537
136,2538
163,2539
99,2540
136,2541
99,2542
136,2543
-1,2544
134,2545
65,2546
178,2547
178,2548
89,2549
43,2550
43,2551
43,2552
151,2553
173,2554
178,2555
122,2556
151,2557
163,2558
169,2559
43,2560
151,2561
169,2562
99,2563
35,2564
99,2565
134,2566
178,2567
199,2568
187,2569
65,2570
204,2571
123,2572
193,2573
199,2574
200,2575
195,2576
199,2577
199,2578
195,2579
188,2580
196,2581
193,2582
193,2583
123,2584
192,2585
111,2586
111,2587
192,2588
196,2589
111,2590
200,2591
193,2592
193,2593
111,2594
134,2595
123,2596
188,2597
196,2598
188,2599
111,2600
111,2601
187,2602
200,2603
178,2604
134,2605
196,2606
188,2607
200,2608
199,2609
65,2610
188,2611
193,2612
193,2613
196,2614
123,2615
111,2616
187,2617
111,2618
188,2619
196,2620
193,2621
193,2622
193,2623
187,2624
188,2625
188,2626
111,2627
111,2628
187,2629
188,2630
196,2631
195,2632
200,2633
-1,2634
-1,2635
196,2636
188,2637
193,2638
111,2639
199,2640
187,2641
200,2642
134,2643
188,2644
193,2645
195,2646
187,2647
200,2648
196,2649
196,2650
188,2651
193,2652
111,2653
200,2654
200,2655
187,2656
200,2657
134,2658
196,2659
193,2660
199,2661
187,2662
196,2663
196,2664
188,2665
193,2666
111,2667
111,2668
187,2669
192,2670
192,2671
195,2672
188,2673
188,2674
188,2675
199,2676
193,2677
187,2678
111,2679
187,2680
202,2681
194,2682
195,2683
191,2684
191,2685
190,2686
185,2687
189,2688
185,2689
185,2690
185,2691
195,2692
191,2693
202,2694
195,2695
189,2696
200,2697
189,2698
190,2699
191,2700
187,2701
189,2702
194,2703
185,2704
187,2705
185,2706
191,2707
187,2708
191,2709
185,2710
185,2711
191,2712
189,2713
199,2714
192,2715
186,2716
200,2717
192,2718
191,2719
191,2720
195,2721
185,2722
195,2723
189,2724
189,2725
202,2726
185,2727
202,2728
189,2729
189,2730
202,2731
190,2732
190,2733
190,2734
195,2735
202,2736
190,2737
191,2738
191,2739
185,2740
187,2741
192,2742
200,2743
202,2744
202,2745
192,2746
195,2747
200,2748
200,2749
185,2750
194,2751
195,2752
195,2753
189,2754
191,2755
202,2756
185,2757
194,2758
187,2759
189,2760
187,2761
195,2762
192,2763
202,2764
185,2765
190,2766
189,2767
195,2768
189,2769
189,2770
189,2771
189,2772
191,2773
191,2774
185,2775
202,2776
189,2777
200,2778
191,2779
191,2780
185,2781
184,2782
184,2783
205,2784
185,2785
202,2786
205,2787
203,2788
186,2789
194,2790
205,2791
197,2792
194,2793
197,2794
191,2795
194,2796
-1,2797
203,2798
197,2799
203,2800
205,2801
203,2802
197,2803
194,2804
184,2805
-1,2806
203,2807
191,2808
185,2809
194,2810
-1,2811
203,2812
